"NAME","STATE","COUNTY","S1501_C01_006E","S1501_C01_007E","S1501_C01_008E","S1501_C01_009E","S1501_C01_010E","S1501_C01_011E","S1501_C01_012E","S1501_C01_013E","state","county","yr"
"Graham County, Arizona","04","009","23531","1054","2325","7028","7105","2421","2272","1326","04","009",2018
"Petersburg Borough, Alaska","02","195","2135","70","149","680","472","175","469","120","02","195",2018
"Kusilvak Census Area, Alaska","02","158","3947","297","583","2117","654","106","132","58","02","158",2018
"Maricopa County, Arizona","04","013","2811491","165555","188958","634810","685299","237799","571408","327662","04","013",2018
"Santa Cruz County, Arizona","04","023","29228","3404","3723","7957","6308","1698","3993","2145","04","023",2018
"La Paz County, Arizona","04","012","15910","1318","2288","5248","4185","899","1324","648","04","012",2018
"Mohave County, Arizona","04","015","155888","6618","16339","54288","45943","12596","13083","7021","04","015",2018
"Coconino County, Arizona","04","005","82119","3407","5108","17604","19355","7391","17349","11905","04","005",2018
"Yavapai County, Arizona","04","025","171813","4544","12079","44214","50935","16771","25694","17576","04","025",2018
"Greenlee County, Arizona","04","011","5955","232","426","2155","1862","571","550","159","04","011",2018
"Pinal County, Arizona","04","021","288250","15423","26538","85546","78844","27105","34853","19941","04","021",2018
"Nevada County, Arkansas","05","099","5952","260","527","2605","1165","479","627","289","05","099",2018
"Cross County, Arkansas","05","037","11477","713","1261","4768","2232","732","963","808","05","037",2018
"Dallas County, Arkansas","05","039","5268","231","631","2284","1082","319","570","151","05","039",2018
"Columbia County, Arkansas","05","027","14720","728","1482","5880","2841","761","1915","1113","05","027",2018
"Saline County, Arkansas","05","125","81408","2251","5539","25636","19806","6942","13707","7527","05","125",2018
"Van Buren County, Arkansas","05","141","12270","512","1229","5387","2643","769","999","731","05","141",2018
"Izard County, Arkansas","05","065","10126","647","864","3825","2324","1069","1005","392","05","065",2018
"Independence County, Arkansas","05","063","25151","1315","2262","9016","5790","2014","3048","1706","05","063",2018
"Logan County, Arkansas","05","083","15283","748","1530","6875","3272","1012","1266","580","05","083",2018
"Grant County, Arkansas","05","053","12494","281","784","5517","2686","939","1454","833","05","053",2018
"Franklin County, Arkansas","05","047","12074","740","1366","4844","2789","912","1088","335","05","047",2018
"Pike County, Arkansas","05","109","7576","481","672","2946","1784","580","637","476","05","109",2018
"Jefferson County, Arkansas","05","069","47396","2068","4552","18270","11131","2943","5355","3077","05","069",2018
"Montgomery County, Arkansas","05","097","6708","538","923","2450","1584","491","390","332","05","097",2018
"Scott County, Arkansas","05","127","6941","458","1010","2984","1389","469","332","299","05","127",2018
"Sebastian County, Arkansas","05","131","84531","5749","8481","27083","20096","6481","11258","5383","05","131",2018
"Crawford County, Arkansas","05","033","41955","2142","4085","15708","10145","3443","4416","2016","05","033",2018
"Chicot County, Arkansas","05","017","7527","441","1010","2954","1617","395","800","310","05","017",2018
"Johnson County, Arkansas","05","071","17284","1398","2167","7124","3048","812","1777","958","05","071",2018
"Lee County, Arkansas","05","077","6786","508","1323","2770","1278","300","455","152","05","077",2018
"Camden County, Missouri","29","029","33978","934","2754","12800","7091","3007","4685","2707","29","029",2018
"Jefferson County, Missouri","29","099","153343","4142","12984","48743","38598","17960","20772","10144","29","099",2018
"New Madrid County, Missouri","29","143","12268","761","1933","5435","2114","464","868","693","29","143",2018
"Ralls County, Missouri","29","173","7270","341","491","3564","1374","510","635","355","29","173",2018
"Custer County, Montana","30","017","8321","263","349","2470","2286","1084","1251","618","30","017",2018
"Powder River County, Montana","30","075","1234","20","44","351","404","89","268","58","30","075",2018
"Roosevelt County, Montana","30","085","6477","237","619","2244","1704","563","797","313","30","085",2018
"Liberty County, Montana","30","051","1691","338","84","402","421","166","198","82","30","051",2018
"Richland County, Montana","30","083","7631","225","361","2906","1845","842","1062","390","30","083",2018
"Toole County, Montana","30","101","3572","249","281","1396","829","299","444","74","30","101",2018
"Daniels County, Montana","30","019","1331","10","53","508","350","119","231","60","30","019",2018
"Judith Basin County, Montana","30","045","1508","26","45","504","338","163","359","73","30","045",2018
"Deer Lodge County, Montana","30","023","6947","163","544","2621","1721","690","902","306","30","023",2018
"McCone County, Montana","30","055","1198","29","53","492","307","124","178","15","30","055",2018
"Rosebud County, Montana","30","087","5779","216","528","1855","1461","678","787","254","30","087",2018
"Dawson County, Montana","30","021","6446","70","308","2394","1376","942","969","387","30","021",2018
"Broadwater County, Montana","30","007","4278","76","164","1571","961","350","819","337","30","007",2018
"Phillips County, Montana","30","071","2845","93","209","1019","768","173","425","158","30","071",2018
"Blaine County, Nebraska","31","009","352","0","13","112","84","63","48","32","31","009",2018
"Deuel County, Nebraska","31","049","1384","37","104","462","419","143","164","55","31","049",2018
"Logan County, Nebraska","31","113","585","9","34","164","168","95","106","9","31","113",2018
"Thayer County, Nebraska","31","169","3637","89","178","1280","854","515","501","220","31","169",2018
"Adams County, Nebraska","31","001","20414","840","1211","5718","5069","2495","3157","1924","31","001",2018
"Boone County, Nebraska","31","011","3675","74","140","1262","904","539","524","232","31","011",2018
"Rock County, Nebraska","31","149","986","24","26","384","255","91","159","47","31","149",2018
"Sherman County, Nebraska","31","163","2231","68","89","865","575","229","278","127","31","163",2018
"Howard County, Nebraska","31","093","4452","194","125","1663","1112","444","691","223","31","093",2018
"Gosper County, Nebraska","31","073","1516","13","52","532","329","190","282","118","31","073",2018
